Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,Home_Elo,Away_Elo,Referee,B365H,B365D,B365A,Home_GoalsScored,Home_GoalsConceded,Home_xG_Created,Home_xG_Conceded,Home_ShotsOnTarget,Home_Opp_ShotsOnTarget,Home_YellowCards,Home_RedCards,Home_Corners,Home_Fouls,Home_Rest_Days,Home_Congestion_Flag,Home_GoalsScored_roll3,Home_GoalsConceded_roll3,Home_ShotsOnTarget_roll3,Home_xG_Created_roll3,Home_xG_Conceded_roll3,Home_Corners_roll3,Home_Fouls_roll3,Home_GoalsScored_roll5,Home_GoalsConceded_roll5,Home_ShotsOnTarget_roll5,Home_xG_Created_roll5,Home_xG_Conceded_roll5,Home_Corners_roll5,Home_Fouls_roll5,Home_GoalsScored_roll10,Home_GoalsConceded_roll10,Home_ShotsOnTarget_roll10,Home_xG_Created_roll10,Home_xG_Conceded_roll10,Home_Corners_roll10,Home_Fouls_roll10,Home_xG_Created_Venue_roll5,Home_xG_Conceded_Venue_roll5,Away_GoalsScored,Away_GoalsConceded,Away_xG_Created,Away_xG_Conceded,Away_ShotsOnTarget,Away_Opp_ShotsOnTarget,Away_YellowCards,Away_RedCards,Away_Corners,Away_Fouls,Away_Rest_Days,Away_Congestion_Flag,Away_GoalsScored_roll3,Away_GoalsConceded_roll3,Away_ShotsOnTarget_roll3,Away_xG_Created_roll3,Away_xG_Conceded_roll3,Away_Corners_roll3,Away_Fouls_roll3,Away_GoalsScored_roll5,Away_GoalsConceded_roll5,Away_ShotsOnTarget_roll5,Away_xG_Created_roll5,Away_xG_Conceded_roll5,Away_Corners_roll5,Away_Fouls_roll5,Away_GoalsScored_roll10,Away_GoalsConceded_roll10,Away_ShotsOnTarget_roll10,Away_xG_Created_roll10,Away_xG_Conceded_roll10,Away_Corners_roll10,Away_Fouls_roll10,Away_xG_Created_Venue_roll5,Away_xG_Conceded_Venue_roll5
2016-08-19,2016/17,Man United,Southampton,2,0,1511.7099735734362,1498.2900264265638,A Taylor,1.53,4.2,7.5,2,0,1.81,0.6799999999999999,5,1,0,0,4,11,5.0,0,3.0,1.0,7.0,2.359999895095825,1.1399999856948853,2.0,10.0,3.0,1.0,7.0,2.359999895095825,1.1399999856948853,2.0,10.0,3.0,1.0,7.0,2.359999895095825,1.1399999856948853,2.0,10.0,1.809999942779541,0.6800000071525574,0,2,0.6799999999999999,1.81,1,5,0,0,0,8,6.0,0,1.0,1.0,6.0,2.4600000381469727,0.4399999976158142,6.0,8.0,1.0,1.0,6.0,2.4600000381469727,0.4399999976158142,6.0,8.0,1.0,1.0,6.0,2.4600000381469727,0.4399999976158142,6.0,8.0,0.6800000071525574,1.809999942779541
2016-08-20,2016/17,Burnley,Liverpool,2,0,1488.2900264265638,1511.7099735734362,L Mason,6.5,4.2,1.57,2,0,0.67,2.23,2,5,0,0,1,14,7.0,0,0.0,1.0,3.0,1.1699999570846558,3.119999885559082,7.0,10.0,0.0,1.0,3.0,1.1699999570846558,3.119999885559082,7.0,10.0,0.0,1.0,3.0,1.1699999570846558,3.119999885559082,7.0,10.0,1.1699999570846558,3.119999885559082,0,2,2.23,0.67,5,2,1,0,12,5,6.0,0,4.0,3.0,7.0,2.509999990463257,1.7200000286102295,4.0,17.0,4.0,3.0,7.0,2.509999990463257,1.7200000286102295,4.0,17.0,4.0,3.0,7.0,2.509999990463257,1.7200000286102295,4.0,17.0,2.509999990463257,1.7200000286102295
2016-08-20,2016/17,Leicester,Arsenal,0,0,1491.7099735734362,1488.2900264265638,M Clattenburg,2.88,3.6,2.5,0,0,0.53,1.55,1,4,1,0,2,11,7.0,0,1.0,2.0,5.0,1.9900000095367432,1.8700000047683716,3.0,17.0,1.0,2.0,5.0,1.9900000095367432,1.8700000047683716,3.0,17.0,1.0,2.0,5.0,1.9900000095367432,1.8700000047683716,3.0,17.0,0.5299999713897705,1.5499999523162842,0,0,1.55,0.53,4,1,2,0,7,7,6.0,0,3.0,4.0,5.0,1.7200000286102295,2.509999990463257,5.0,13.0,3.0,4.0,5.0,1.7200000286102295,2.509999990463257,5.0,13.0,3.0,4.0,5.0,1.7200000286102295,2.509999990463257,5.0,13.0,1.5499999523162842,0.5299999713897705
2016-08-20,2016/17,Stoke,Man City,1,4,1501.7099735734362,1508.2900264265638,M Dean,5.5,3.8,1.73,1,4,1.1099999999999999,2.1,3,6,3,0,7,12,7.0,0,1.0,1.0,1.0,0.6499999761581421,0.9399999976158142,6.0,14.0,1.0,1.0,1.0,0.6499999761581421,0.9399999976158142,6.0,14.0,1.0,1.0,1.0,0.6499999761581421,0.9399999976158142,6.0,14.0,1.1100000143051147,2.0999999046325684,4,1,2.1,1.1099999999999999,6,3,4,0,7,13,7.0,0,2.0,1.0,4.0,1.6399999856948853,1.0800000429153442,9.0,11.0,2.0,1.0,4.0,1.6399999856948853,1.0800000429153442,9.0,11.0,2.0,1.0,4.0,1.6399999856948853,1.0800000429153442,9.0,11.0,2.0999999046325684,1.1100000143051147
2016-08-20,2016/17,Swansea,Hull,0,2,1511.7099735734362,1508.2900264265638,S Attwell,1.8,3.6,5.25,0,2,1.26,1.52,3,4,0,0,8,7,7.0,0,1.0,0.0,9.0,3.119999885559082,1.1699999570846558,4.0,14.0,1.0,0.0,9.0,3.119999885559082,1.1699999570846558,4.0,14.0,1.0,0.0,9.0,3.119999885559082,1.1699999570846558,4.0,14.0,1.2599999904632568,1.5199999809265137,2,0,1.52,1.26,4,3,0,0,3,10,7.0,0,2.0,1.0,5.0,1.8700000047683716,1.9900000095367432,5.0,8.0,2.0,1.0,5.0,1.8700000047683716,1.9900000095367432,5.0,8.0,2.0,1.0,5.0,1.8700000047683716,1.9900000095367432,5.0,8.0,1.5199999809265137,1.2599999904632568
2016-08-20,2016/17,Tottenham,Crystal Palace,1,0,1501.7099735734362,1488.2900264265638,M Oliver,1.45,4.75,8.0,1,0,2.05,0.88,5,2,3,0,10,19,7.0,0,1.0,1.0,4.0,1.5499999523162842,2.0999999046325684,6.0,14.0,1.0,1.0,4.0,1.5499999523162842,2.0999999046325684,6.0,14.0,1.0,1.0,4.0,1.5499999523162842,2.0999999046325684,6.0,14.0,2.049999952316284,0.8799999952316284,0,1,0.88,2.05,2,5,3,0,4,9,7.0,0,0.0,1.0,4.0,1.5800000429153442,1.2599999904632568,3.0,12.0,0.0,1.0,4.0,1.5800000429153442,1.2599999904632568,3.0,12.0,0.0,1.0,4.0,1.5800000429153442,1.2599999904632568,3.0,12.0,0.8799999952316284,2.049999952316284
2016-08-20,2016/17,Watford,Chelsea,1,2,1501.7099735734362,1508.2900264265638,J Moss,5.5,3.8,1.73,1,2,0.76,1.55,2,4,4,0,0,20,7.0,0,1.0,1.0,1.0,0.4399999976158142,2.4600000381469727,2.0,12.0,1.0,1.0,1.0,0.4399999976158142,2.4600000381469727,2.0,12.0,1.0,1.0,1.0,0.4399999976158142,2.4600000381469727,2.0,12.0,0.7599999904632568,1.5499999523162842,2,1,1.55,0.76,4,2,3,0,5,10,5.0,0,2.0,1.0,6.0,2.2200000286102295,1.0800000429153442,7.0,16.0,2.0,1.0,6.0,2.2200000286102295,1.0800000429153442,7.0,16.0,2.0,1.0,6.0,2.2200000286102295,1.0800000429153442,7.0,16.0,1.5499999523162842,0.7599999904632568
2016-08-20,2016/17,West Brom,Everton,1,2,1511.7099735734362,1498.2900264265638,N Swarbrick,3.0,3.25,2.6,1,2,1.49,2.4200000000000004,4,7,3,0,7,16,7.0,0,1.0,0.0,3.0,1.2599999904632568,1.5800000429153442,6.0,15.0,1.0,0.0,3.0,1.2599999904632568,1.5800000429153442,6.0,15.0,1.0,0.0,3.0,1.2599999904632568,1.5800000429153442,6.0,15.0,1.4900000095367432,2.4200000762939453,2,1,2.4200000000000004,1.49,7,4,1,0,4,10,7.0,0,1.0,1.0,6.0,2.0999999046325684,1.5499999523162842,5.0,10.0,1.0,1.0,6.0,2.0999999046325684,1.5499999523162842,5.0,10.0,1.0,1.0,6.0,2.0999999046325684,1.5499999523162842,5.0,10.0,2.4200000762939453,1.4900000095367432
2016-08-21,2016/17,Sunderland,Middlesbrough,1,2,1491.7099735734362,1498.2900264265638,M Atkinson,2.55,3.2,3.1,1,2,1.9900000000000002,1.1099999999999999,5,3,1,0,8,11,8.0,0,1.0,2.0,3.0,1.0800000429153442,1.6399999856948853,6.0,14.0,1.0,2.0,3.0,1.0800000429153442,1.6399999856948853,6.0,14.0,1.0,2.0,3.0,1.0800000429153442,1.6399999856948853,6.0,14.0,1.9900000095367432,1.1100000143051147,2,1,1.1099999999999999,1.9900000000000002,3,5,1,0,1,14,8.0,0,1.0,1.0,2.0,0.9399999976158142,0.6499999761581421,9.0,18.0,1.0,1.0,2.0,0.9399999976158142,0.6499999761581421,9.0,18.0,1.0,1.0,2.0,0.9399999976158142,0.6499999761581421,9.0,18.0,1.1100000143051147,1.9900000095367432
2016-08-21,2016/17,West Ham,Bournemouth,1,0,1491.7099735734362,1488.2900264265638,C Pawson,1.95,3.75,4.0,1,0,1.03,1.6900000000000002,2,5,3,0,1,15,6.0,0,1.0,2.0,3.0,1.0800000429153442,2.2200000286102295,1.0,16.0,1.0,2.0,3.0,1.0800000429153442,2.2200000286102295,1.0,16.0,1.0,2.0,3.0,1.0800000429153442,2.2200000286102295,1.0,16.0,1.0299999713897705,1.690000057220459,0,1,1.6900000000000002,1.03,5,2,1,1,6,15,7.0,0,1.0,3.0,3.0,1.1399999856948853,2.359999895095825,4.0,7.0,1.0,3.0,3.0,1.1399999856948853,2.359999895095825,4.0,7.0,1.0,3.0,3.0,1.1399999856948853,2.359999895095825,4.0,7.0,1.690000057220459,1.0299999713897705
